time,elapsed_s,ai0,ai1,ai2
2026-03-05T08:34:19.031Z,0.000000,2.766511615,2.404003212,2.460654842
2026-03-05T08:34:19.033Z,0.002500,2.769700575,2.406845070,2.463201242
2026-03-05T08:34:19.036Z,0.005000,2.768106095,2.404634736,2.462564642
2026-03-05T08:34:19.038Z,0.007500,2.769700575,2.405897784,2.464792742
2026-03-05T08:34:19.041Z,0.010000,2.767787199,2.404634736,2.463201242
2026-03-05T08:34:19.043Z,0.012500,2.770976159,2.405897784,2.463519542
2026-03-05T08:34:19.046Z,0.015000,2.765554927,2.400214068,2.456516942
2026-03-05T08:34:19.048Z,0.017500,2.771932847,2.405266260,2.463519542
2026-03-05T08:34:19.051Z,0.020000,2.770657263,2.405266260,2.463837842
2026-03-05T08:34:19.053Z,0.022500,2.773208431,2.404634736,2.462882942
2026-03-05T08:34:19.056Z,0.025000,2.772889535,2.405266260,2.463201242
2026-03-05T08:34:19.058Z,0.027500,2.775121807,2.405582022,2.464156142
2026-03-05T08:34:19.061Z,0.030000,2.774484015,2.404318974,2.463519542
2026-03-05T08:34:19.063Z,0.032500,2.773527327,2.402740164,2.460973142
2026-03-05T08:34:19.066Z,0.035000,2.774802911,2.403687450,2.462564642
2026-03-05T08:34:19.068Z,0.037500,2.774165119,2.404003212,2.462246342
2026-03-05T08:34:19.071Z,0.040000,2.774165119,2.405266260,2.463519542
2026-03-05T08:34:19.073Z,0.042500,2.771932847,2.404634736,2.462246342
2026-03-05T08:34:19.076Z,0.045000,2.773208431,2.406213546,2.463837842
2026-03-05T08:34:19.078Z,0.047500,2.771613951,2.406213546,2.463519542
2026-03-05T08:34:19.081Z,0.050000,2.776716287,2.412844548,2.472113642
2026-03-05T08:34:19.083Z,0.052500,2.769700575,2.406529308,2.463519542
2026-03-05T08:34:19.086Z,0.055000,2.767468303,2.406213546,2.462882942
2026-03-05T08:34:19.088Z,0.057500,2.768424991,2.406845070,2.463837842
2026-03-05T08:34:19.091Z,0.060000,2.764917135,2.404950498,2.462564642
2026-03-05T08:34:19.093Z,0.062500,2.770019471,2.409686928,2.470203842
2026-03-05T08:34:19.096Z,0.065000,2.770976159,2.404318974,2.463201242
2026-03-05T08:34:19.098Z,0.067500,2.772251743,2.405897784,2.465111042
2026-03-05T08:34:19.101Z,0.070000,2.771932847,2.404634736,2.462882942
2026-03-05T08:34:19.103Z,0.072500,2.774165119,2.406213546,2.464474442
2026-03-05T08:34:19.106Z,0.075000,2.775121807,2.404003212,2.462882942
2026-03-05T08:34:19.108Z,0.077500,2.776397391,2.404003212,2.460973142
2026-03-05T08:34:19.111Z,0.080000,2.777991871,2.403687450,2.463201242
2026-03-05T08:34:19.113Z,0.082500,2.776078495,2.401477116,2.463201242
2026-03-05T08:34:19.116Z,0.085000,2.776716287,2.403055926,2.463519542
2026-03-05T08:34:19.118Z,0.087500,2.775440703,2.405897784,2.464156142
2026-03-05T08:34:19.121Z,0.090000,2.773208431,2.407476594,2.461928042
2026-03-05T08:34:19.123Z,0.092500,2.768743887,2.406529308,2.461609742
2026-03-05T08:34:19.126Z,0.095000,2.765873823,2.405582022,2.461928042
2026-03-05T08:34:19.128Z,0.097500,2.767149407,2.404950498,2.465429342
2026-03-05T08:34:19.131Z,0.100000,2.765554927,2.403687450,2.464792742
